ts_wall_s,ts_mono_s,dt_s,fs_path,fs_total_bytes,fs_used_bytes,fs_free_bytes,fs_percent,disk_read_bytes_d,disk_write_bytes_d,disk_read_count_d,disk_write_count_d,disk_read_MBps,disk_write_MBps,disk_read_iops,disk_write_iops,disk_busy_time_ms_d,proc_read_bytes_d_sum,proc_write_bytes_d_sum
1769029900.149579,861059.433210661,1.001470614108257,/,250375106560,142979702784,94602514432,60.2,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029901.150998,861060.434629684,1.0014190229121596,/,250375106560,142979702784,94602514432,60.2,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029913.5099034,861072.793536488,,/,250375106560,142979702784,94602514432,60.2,0,0,0,0,,,,,0,,
1769029914.511309,861073.794940508,1.0014040200039744,/,250375106560,142979702784,94602514432,60.2,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029915.5127366,861074.796368028,1.0014275200664997,/,250375106560,142979710976,94602506240,60.2,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029916.5135503,861075.797184084,1.000816055922769,/,250375106560,142979715072,94602502144,60.2,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029917.5150073,861076.798639142,1.0014550579944625,/,250375106560,142979715072,94602502144,60.2,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029918.516447,861077.800078541,1.001439399085939,/,250375106560,142979715072,94602502144,60.2,0,77824,0,3,0.0,0.07771214121496882,0.0,2.9956880094174863,35,,
1769189046.4064693,1020205.690102008,,/,250375106560,143343640576,94238576640,60.3,0,0,0,0,,,,,0,,
1769189047.4078925,1020206.691524069,1.0014220610028133,/,250375106560,143343640576,94238576640,60.3,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769189048.4092448,1020207.692876109,1.001352039980702,/,250375106560,143343640576,94238576640,60.3,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769189049.4107425,1020208.694375319,1.0014992100186646,/,250375106560,143343640576,94238576640,60.3,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769189050.412167,1020209.695798687,1.0014233679976314,/,250375106560,143343640576,94238576640,60.3,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769189051.4132466,1020210.696878108,1.0010794209083542,/,250375106560,143343640576,94238576640,60.3,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769189052.4468272,1020211.730459228,1.033581120078452,/,250375106560,143343640576,94238576640,60.3,0,143360,0,3,0.0,0.13870222396198426,0.0,2.9025297983116127,66,,
1769189053.448427,1020212.732058899,1.0015996709698811,/,250375106560,143343640576,94238576640,60.3,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769189054.4495475,1020213.733181048,1.0011221489403397,/,250375106560,143343644672,94238572544,60.3,36864,4096,2,1,0.03682267946925311,0.004091408829917012,1.997758217732916,0.998879108866458,34,,
1769189055.450988,1020214.734620122,1.0014390740543604,/,250375106560,143343644672,94238572544,60.3,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769189056.4525535,1020215.736185223,1.0015651009744033,/,250375106560,143343644672,94238572544,60.3,0,61440,0,1,0.0,0.06134399046075609,0.0,0.9984373447388686,32,,
1769189057.453983,1020216.737615213,1.001429990050383,/,250375106560,143343644672,94238572544,60.3,0,4096,0,1,0.0,0.004090151124587277,0.0,0.9985720519011908,34,,
1769189058.4556673,1020217.739298965,1.0016837519360706,/,250375106560,143343644672,94238572544,60.3,0,229376,0,47,0.0,0.22899043690851362,0.0,46.92099668099601,2,,
1769189059.4570448,1020218.740677549,1.0013785840710625,/,250375106560,143343644672,94238572544,60.3,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769189060.4587576,1020219.74238935,1.0017118009272963,/,250375106560,143343644672,94238572544,60.3,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769189061.4601007,1020220.743732432,1.0013430820545182,/,250375106560,143343644672,94238572544,60.3,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769189062.4617653,1020221.745398765,1.0016663329442963,/,250375106560,143343644672,94238572544,60.3,0,20480,0,2,0.0,0.020445930272809634,0.0,1.9966728782040657,67,,
1769189063.4633963,1020222.747028049,1.0016292840009555,/,250375106560,143343648768,94238568448,60.3,0,4096,0,1,0.0,0.004089337308149321,0.0,0.998373366247393,1,,
1769189064.4649513,1020223.748584869,1.0015568200033158,/,250375106560,143343652864,94238564352,60.3,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769189065.4665368,1020224.750169818,1.0015849490882829,/,250375106560,143343652864,94238564352,60.3,0,0,0,0,0.0,0.0,0.0,0.0,0,,
